,host_acceptance_rate,host_response_rate,price,number_of_reviews,review_scores_location,review_scores_cleanliness,availability_365,reviews_per_month,review_scores_communication,room_type,property_type
196,0.86,0.83,1300.0,24,5.0,5.0,292,0.23,5.0,Private room,Private room in guest suite
197,1.0,1.0,988.0,120,4.95,4.8,248,1.06,4.88,Entire home/apt,Entire rental unit
198,0.97,1.0,1997.0,121,4.93,4.94,136,1.2,4.98,Entire home/apt,Entire loft
199,0.86,0.83,1300.0,56,4.98,5.0,328,0.52,4.91,Private room,Private room in guest suite
200,0.89,1.0,775.0,83,4.87,4.96,174,0.86,4.97,Entire home/apt,Entire rental unit
201,1.0,1.0,500.0,25,5.0,4.8,262,2.2,5.0,Private room,Private room in rental unit
202,0.94,1.0,869.0,37,4.75,4.84,51,0.4,4.95,Entire home/apt,Entire condo
203,0.94,1.0,2200.0,33,4.97,4.97,365,0.29,4.97,Private room,Private room in bed and breakfast
204,1.0,0.67,600.0,216,4.9,4.94,274,2.57,4.92,Private room,Private room in rental unit
205,0.94,1.0,1800.0,44,4.95,4.95,355,0.4,4.91,Hotel room,Room in boutique hotel
206,1.0,1.0,1372.0,6,4.6,5.0,363,0.06,5.0,Private room,Private room in home
207,1.0,1.0,1000.0,338,4.9,4.71,134,3.01,4.72,Entire home/apt,Entire condo
208,1.0,1.0,1499.0,45,5.0,4.93,302,0.65,4.98,Entire home/apt,Entire loft
209,1.0,1.0,3670.0,98,4.94,4.84,80,0.94,5.0,Entire home/apt,Entire rental unit
210,0.92,0.9,836.0,50,4.65,4.98,361,0.53,4.9,Entire home/apt,Entire condo
211,0.2,1.0,1180.0,8,5.0,4.83,240,0.07,4.67,Entire home/apt,Entire rental unit
212,1.0,1.0,1000.0,94,4.88,4.9,362,0.83,4.98,Entire home/apt,Entire rental unit
213,0.99,1.0,1955.0,301,4.78,4.79,259,2.67,4.93,Entire home/apt,Entire condo
214,0.99,0.99,908.0,4,5.0,5.0,74,0.08,5.0,Hotel room,Room in serviced apartment
215,0.99,0.99,726.0,37,4.68,4.69,347,0.34,4.51,Entire home/apt,Entire serviced apartment
216,0.97,1.0,1190.0,8,4.0,4.86,210,0.08,5.0,Entire home/apt,Entire condo
217,0.97,1.0,872.0,1,4.0,5.0,364,0.01,4.0,Entire home/apt,Entire home
218,0.9,1.0,960.0,15,5.0,4.93,302,0.35,5.0,Private room,Private room in rental unit
219,0.0,1.0,508.0,3,5.0,5.0,363,0.03,5.0,Private room,Private room in rental unit
220,0.0,1.0,3658.0,0,5.0,5.0,365,0.14,5.0,Private room,Private room in rental unit
221,0.0,1.0,800.0,3,5.0,5.0,222,0.14,5.0,Entire home/apt,Entire rental unit
222,1.0,1.0,884.0,9,4.0,4.67,0,1.24,5.0,Entire home/apt,Entire serviced apartment
223,1.0,1.0,793.0,92,4.92,4.77,316,1.48,4.63,Entire home/apt,Entire bungalow
224,0.93,1.0,2212.0,106,4.88,4.91,58,0.95,4.94,Entire home/apt,Entire rental unit
225,0.92,1.0,578.0,15,5.0,4.8,132,2.71,5.0,Private room,Private room in rental unit
226,0.44,1.0,11807.0,1,5.0,5.0,365,0.17,5.0,Private room,Private room in home
227,0.5,1.0,1100.0,1,5.0,5.0,58,0.28,5.0,Entire home/apt,Entire rental unit
228,0.0,1.0,732.0,54,4.71,4.85,71,0.51,5.0,Entire home/apt,Entire rental unit
229,0.93,1.0,545.0,13,5.0,4.85,365,0.19,5.0,Private room,Private room in home
230,0.93,1.0,1452.0,21,4.95,4.86,313,0.21,4.95,Entire home/apt,Entire rental unit
231,0.47,1.0,450.0,85,4.93,4.93,316,0.78,4.92,Private room,Private room in rental unit
232,0.47,1.0,350.0,142,4.86,4.75,333,1.26,4.76,Private room,Private room in rental unit
233,0.94,0.98,1149.0,89,4.96,4.7,356,0.83,4.61,Entire home/apt,Entire rental unit
234,1.0,1.0,1927.0,239,4.92,4.78,160,2.1,4.74,Entire home/apt,Entire loft
235,0.9,1.0,908.0,171,4.95,4.84,50,1.62,4.94,Entire home/apt,Entire condo
236,0.94,0.98,1191.0,43,4.85,4.78,334,0.42,4.59,Entire home/apt,Entire rental unit
237,0.94,0.0,376.0,3,5.0,5.0,365,0.05,5.0,Private room,Private room in home
238,0.94,0.98,1093.0,34,4.88,4.91,365,0.33,4.68,Entire home/apt,Entire rental unit
239,0.94,0.98,1278.0,28,4.82,4.57,359,0.26,4.44,Entire home/apt,Entire rental unit
240,0.94,0.98,1093.0,29,4.93,4.93,362,0.29,4.86,Entire home/apt,Entire rental unit
241,0.94,0.98,1581.0,55,4.71,4.85,183,0.51,4.6,Entire home/apt,Entire rental unit
242,0.94,1.0,1800.0,41,4.88,4.88,365,0.37,4.85,Private room,Room in boutique hotel
243,0.75,1.0,732.0,4,5.0,5.0,358,0.05,5.0,Entire home/apt,Casa particular
244,1.0,1.0,549.0,2,5.0,5.0,346,0.03,5.0,Private room,Private room in home
245,1.0,1.0,545.0,252,4.95,4.8,365,3.51,4.95,Entire home/apt,Entire guest suite
246,1.0,1.0,1258.0,150,4.92,4.98,315,1.39,5.0,Entire home/apt,Entire rental unit
247,1.0,1.0,750.0,34,4.91,4.94,256,0.35,4.97,Entire home/apt,Entire rental unit
248,0.4,0.5,1705.0,1,1.0,1.0,87,0.33,1.0,Entire home/apt,Entire serviced apartment
249,0.67,1.0,700.0,27,4.96,4.27,365,0.27,4.96,Private room,Private room in rental unit
250,1.0,1.0,1866.0,589,4.97,4.93,84,5.58,4.98,Entire home/apt,Entire loft
251,0.0,1.0,880.0,1,4.0,5.0,180,0.01,5.0,Private room,Private room in rental unit
252,0.0,1.0,2952.0,0,4.7,4.74,173,0.21,5.0,Private room,Private room in home
253,0.0,1.0,817.0,23,4.7,4.74,0,0.21,5.0,Entire home/apt,Entire rental unit
254,0.5,1.0,1829.0,57,4.96,4.86,272,0.51,4.98,Entire home/apt,Entire rental unit
255,0.13,1.0,1372.0,106,4.87,4.69,88,1.0,4.91,Entire home/apt,Entire rental unit
256,1.0,1.0,635.0,88,4.85,4.84,123,0.78,4.83,Entire home/apt,Entire loft
257,1.0,1.0,1826.0,341,4.99,4.9,255,3.29,4.99,Entire home/apt,Entire rental unit
258,0.94,0.98,1072.0,41,4.83,4.98,337,0.44,4.73,Entire home/apt,Entire rental unit
259,0.92,1.0,714.0,124,4.89,4.87,343,1.22,4.88,Private room,Private room in rental unit
260,0.93,1.0,1374.0,244,4.99,4.84,54,2.32,4.88,Entire home/apt,Entire rental unit
261,1.0,1.0,287.0,0,4.76,4.94,365,0.45,5.0,Private room,Private room in home
262,1.0,1.0,830.0,50,4.76,4.94,221,0.45,5.0,Private room,Private room in home
263,1.0,1.0,1850.0,170,4.96,4.94,237,1.59,4.99,Entire home/apt,Entire condo
264,1.0,1.0,800.0,28,4.86,4.96,57,0.33,5.0,Entire home/apt,Entire condo
265,0.88,1.0,1097.0,45,5.0,4.89,352,0.48,5.0,Entire home/apt,Entire rental unit
266,0.88,1.0,799.0,75,4.91,4.92,26,0.72,4.99,Entire home/apt,Entire rental unit
267,1.0,1.0,1388.0,45,4.96,4.87,203,0.45,4.82,Entire home/apt,Entire condo
268,0.0,1.0,1434.0,13,5.0,5.0,326,0.16,5.0,Entire home/apt,Entire loft
269,0.0,1.0,2165.0,0,4.95,5.0,0,0.23,5.0,Entire home/apt,Entire rental unit
270,0.0,1.0,2542.0,21,4.95,5.0,364,0.23,5.0,Entire home/apt,Entire rental unit
271,0.0,1.0,2887.0,103,4.99,4.83,354,1.0,5.0,Entire home/apt,Entire rental unit
